2025-05-11 00:29:08,D5,0
2025-05-11 00:29:08,D6,0
2025-05-11 00:29:09,D5,0
2025-05-11 00:29:09,D6,1
2025-05-11 00:29:09,D5,1
2025-05-11 00:29:09,D6,0
2025-05-11 00:29:10,D6,0
2025-05-11 00:29:10,D5,0
2025-05-11 00:29:10,D6,0
2025-05-11 00:29:10,D5,1
2025-05-11 00:29:11,D5,0
2025-05-11 00:29:11,D6,0
2025-05-11 00:29:11,D5,0
2025-05-11 00:29:11,D6,0
2025-05-11 00:29:12,D6,0
2025-05-11 00:29:12,D5,0
2025-05-11 00:29:12,D6,1
2025-05-11 00:29:13,D5,0
2025-05-11 00:29:13,D5,0
2025-05-11 00:29:13,D6,1
2025-05-11 00:29:13,D6,0
2025-05-11 00:29:14,D5,0
2025-05-11 00:29:14,D5,0
2025-05-11 00:29:14,D6,0
2025-05-11 00:29:14,D5,1
2025-05-11 00:29:14,D6,0
2025-05-11 00:29:15,D5,1
2025-05-11 00:29:15,D6,0
2025-05-11 00:29:15,D6,0
2025-05-11 00:29:16,D5,0
2025-05-11 00:29:16,D6,0
2025-05-11 00:29:16,D5,0
2025-05-11 00:29:16,D6,1
2025-05-11 00:29:17,D5,1
2025-05-11 00:29:17,D5,0
2025-05-11 00:29:17,D6,0
2025-05-11 00:29:18,D5,0
2025-05-11 00:29:18,D6,0
